episode,reward
0,-13353.556007954576
1,-13063.455103074924
2,-13351.556007954576
3,-13347.556007954576
4,-13345.556007954576
5,-13093.967716184887
6,-13343.556007954576
7,-13347.556007954576
8,-13345.556007954576
9,-13379.556007954576
10,-13345.556007954576
11,-13284.530781734662
12,-13347.556007954576
13,-13203.505555514756
14,-13138.480329294838
15,-12909.4046506351
16,-13345.556007954576
17,-13272.530781734662
18,-13205.50555551475
19,-13353.556007954576
20,-13205.50555551475
21,-13020.94248996497
22,-13124.480329294838
23,-13349.556007954576
24,-13020.942489964977
25,-13164.992942404793
26,-12951.917263745057
27,-13276.530781734662
28,-13397.556007954574
29,-13229.32168780045
30,-13136.48032929484
31,-13246.018168624707
32,-13351.556007954576
33,-13278.530781734662
34,-13126.48032929484
35,-13201.505555514756
36,-12992.429876855016
37,-13345.556007954576
38,-13238.018168624707
39,-13168.992942404793
40,-13274.530781734662
41,-13262.018168624707
42,-13351.556007954576
43,-13347.556007954576
44,-13274.530781734666
45,-13274.530781734662
46,-13057.455103074924
47,-13182.112593866237
48,-13351.556007954576
49,-13353.556007954576
50,-13347.556007954576
51,-13349.556007954576
52,-13345.556007954576
53,-13160.992942404797
54,-12992.429876855014
55,-13347.556007954576
56,-13321.04339484462
57,-13168.992942404799
58,-13130.480329294838
59,-13343.556007954576
60,-13164.992942404793
61,-13270.530781734662
62,-13057.455103074928
63,-13103.967716184889
64,-13170.992942404793
65,-13311.043394844619
66,-13234.018168624707
67,-13208.112593866235
68,-13274.530781734666
69,-13166.992942404793
70,-13238.018168624707
71,-13355.556007954576
72,-13309.04339484462
73,-12941.917263745056
74,-13278.530781734662
75,-13311.043394844619
76,-13274.530781734662
77,-12694.328971975365
78,-13309.043394844619
79,-12838.379424415187
80,-13351.556007954576
81,-13345.556007954576
82,-13203.50555551475
83,-13134.480329294842
84,-13345.556007954576
85,-13168.992942404793
86,-13075.69440599781
87,-13349.556007954576
88,-13274.530781734662
89,-12915.404650635104
90,-13282.530781734662
91,-13236.018168624707
92,-13347.556007954576
93,-13280.530781734662
94,-13276.530781734662
95,-13347.556007954576
96,-13353.556007954576
97,-13311.043394844619
98,-13351.556007954576
99,-12557.39817099698
100,-13347.556007954576
101,-13227.32168780045
102,-13236.018168624707
103,-13317.043394844619
104,-13093.967716184881
105,-13201.505555514756
106,-12874.892037525156
107,-13066.997925173551
108,-13351.556007954576
109,-13276.530781734662
110,-13053.455103074924
111,-13345.556007954576
112,-13136.480329294838
113,-13023.365660602154
114,-13272.530781734662
115,-12986.42987685502
116,-13274.530781734664
117,-13355.556007954576
118,-13349.556007954576
119,-13276.018168624707
120,-13140.480329294838
121,-13274.530781734662
122,-12911.404650635106
123,-13164.9929424048
124,-13274.530781734662
125,-13091.967716184883
126,-13099.967716184881
127,-13345.556007954576
128,-13302.530781734662
129,-13172.992942404793
130,-13345.556007954576
131,-13057.45510307493
132,-13134.480329294838
133,-13234.018168624707
134,-13234.018168624707
135,-13357.556007954576
136,-13089.967716184881
137,-13242.018168624709
138,-13349.556007954576
139,-13347.556007954576
140,-13353.556007954576
141,-13355.556007954576
142,-12874.892037525151
143,-13087.967716184887
144,-13238.018168624709
145,-13284.530781734662
146,-13351.556007954576
147,-13051.455103074932
148,-13313.043394844619
149,-13250.018168624707
150,-13347.556007954576
151,-13234.01816862471
152,-13347.556007954576
153,-13274.530781734662
154,-13359.556007954576
155,-13343.556007954576
156,-13201.50555551475
157,-12978.429876855014
158,-13353.556007954576
159,-13355.556007954576
160,-13164.992942404793
161,-13345.556007954576
162,-13055.455103074924
163,-13315.043394844619
164,-13238.01816862471
165,-13311.043394844619
166,-12882.011688986586
167,-13278.530781734662
168,-13349.556007954576
169,-13201.50555551475
170,-13345.556007954576
171,-13349.556007954576
172,-13272.530781734662
173,-13351.556007954576
174,-12978.429876855018
175,-13345.556007954576
176,-13345.556007954576
177,-13347.556007954576
178,-13228.625206976192
179,-13343.556007954576
180,-13278.530781734662
181,-13357.556007954576
182,-12843.922246513817
183,-13373.556007954576
184,-13240.018168624707
185,-13061.455103074928
186,-13351.556007954576
187,-13349.556007954576
188,-13349.556007954576
189,-13203.505555514752
190,-13389.556007954576
191,-13168.992942404797
192,-13053.455103074926
193,-13111.78384847058
194,-13353.556007954576
195,-13087.967716184881
