episode,reward
0,-12973.91726374506
1,-13205.50555551475
2,-12471.253293315634
3,-12600.791132645505
4,-13276.530781734662
5,-13367.556007954576
6,-13367.556007954576
7,-12844.379424415187
8,-13132.480329294838
9,-13067.455103074926
10,-12634.423397216891
11,-12840.3794244152
12,-12383.531586271454
13,-12767.354198195275
14,-13097.967716184881
15,-12114.127162216086
16,-12767.354198195275
17,-13115.967716184885
18,-12694.328971975374
19,-12765.354198195284
20,-12868.195556700886
21,-12884.892037525153
22,-12702.328971975376
23,-13365.556007954576
24,-12653.81635886541
25,-13377.556007954574
26,-13205.50555551475
27,-12858.379424415187
28,-12647.119878041156
29,-12578.791132645501
30,-13170.992942404797
31,-12348.74566297445
32,-13325.04339484462
33,-12406.228067095713
34,-13026.942489964973
35,-13063.455103074924
36,-12842.37942441519
37,-13107.967716184881
38,-12698.328971975377
39,-12593.910784106944
40,-12805.866811305235
41,-12398.22806709573
42,-13095.967716184881
43,-13036.942489964968
44,-13209.50555551475
45,-13111.967716184881
46,-12959.917263745065
47,-13132.480329294845
48,-13244.018168624707
49,-13089.967716184881
50,-12548.701690172722
51,-12982.429876855012
52,-13369.556007954574
53,-13182.992942404793
54,-13211.50555551475
55,-13059.455103074924
56,-13101.967716184881
57,-13369.556007954576
58,-13099.967716184881
59,-13150.480329294836
60,-12590.791132645507
61,-12909.404650635108
62,-12900.892037525153
63,-13140.480329294838
64,-12773.354198195282
65,-12504.189077062765
66,-13345.556007954576
67,-12819.866811305237
68,-12329.202840875818
69,-11848.538870446393
70,-13049.181792887852
71,-13132.480329294838
72,-13347.556007954576
73,-13150.480329294836
74,-13030.94248996497
75,-13170.992942404797
76,-13138.480329294844
77,-12868.195556700899
78,-13246.018168624707
79,-12544.278519535543
80,-13325.043394844619
81,-13361.556007954576
82,-13248.018168624707
83,-13047.181792887852
84,-12115.246813677519
85,-12408.651237732916
86,-12994.42987685502
87,-12073.614549106123
88,-12732.841585085333
89,-12334.322492337267
90,-12913.404650635102
91,-13294.530781734662
92,-12840.379424415192
93,-12675.816358865417
94,-13359.556007954576
95,-13170.992942404797
96,-13367.556007954574
97,-13132.903499932023
98,-12254.177614655897
99,-12947.917263745057
100,-12544.278519535539
101,-13244.018168624707
102,-12777.354198195275
103,-12894.892037525155
104,-13357.556007954576
105,-12890.892037525155
106,-13115.967716184881
107,-13347.556007954576
108,-12801.866811305232
109,-12552.278519535555
110,-13217.50555551475
111,-12454.556812491383
112,-12923.4046506351
113,-12846.379424415192
114,-12444.283502304295
115,-13130.480329294845
116,-12485.253293315627
117,-13353.556007954576
118,-13359.556007954576
119,-13022.94248996497
120,-12953.91726374506
